KodZboziKo,C31,1;KodZbozi,C15,2;KodPodskla,N11/0,3;KodZboziVB,C15,4;NazevVar,C250,5;TypZbozi,N11/0,6;SazbaDPH,N11/0,7;NCBD,N11/2,8;Mn,N11/2,9;BarCode,C20,10;BarCodeBal,C20,11;jednotka,C5,12;BalZakl,N11/0,13;BalZaklK,N11/0,14;BalPal,N11/2,15;BaleniZakl,N11/0,16;BaleniPal,N11/0,17;BaleniAlt,N11/0,18;HmotnostCe,N11/2,19;ObjemCelke,N11/2,20;InvMn,N11/0,21;cProvozovn,N11/0,22;VUPoznamka,C20,23;Import,L,24;KodCenSkup,N11/0,25;KodSlevSku,N11/0,26;KodSortime,C15,27;KodVyrobce,C15,28;PCA,N11/2,29;PCASD,N11/2,30;PCB,N11/2,31;PCBSD,N11/2,32;PCC,N11/2,33;PCCSD,N11/2,34;PCD,N11/2,35;PCDSD,N11/2,36;KC,N11/2,37;KCSD,N11/2,38;VUDodcislo,C40,39;VUDodavate,C40,40;VUMaterial,C30,41;VUNostnost,C30,42;VUSklmisto,C20,43;VUNetto301,N11/0,44;VUPuvodniz,C10,45;VUVolnaZ53,C20,46;Cislo,C15,47;dPohybu,D,48;dZaloz,D,49$
,.06;,;6;;Rohová knihovna CASPER;ZB;21;3095.04;1.00;;;ks;0;0;0.00;3;0;0;39.00;0.10;0;1;;0;1;0;21.1.2;1;4640.00;5614.40;4964.80;6007.41;5521.49;6681.00;6495.87;7860.00;0.00;0.00;;;Lamino, voština;;F41E;39;;A;27/15;301215;301215;
01.02;01;2;;Potahová látka zelená;ZB;21;53.35;353.61;;;mb;354;354;353.61;1;1;0;141.44;0.00;0;1;;0;1;0;16.6;24;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;0;4033;E;24/15;301215;301215;
02.02;02;2;;Potahová látka oranžová;ZB;21;57.24;468.98;;;mb;469;469;468.98;1;1;0;187.59;0.00;0;1;;0;1;0;16.6;24;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;0;4032;E;24/15;301215;301215;
03.02;03;2;;Potahová látka cihlová;ZB;21;63.21;297.72;;;mb;298;298;297.72;1;1;0;119.09;0.00;0;1;;0;1;0;16.6;24;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;TKANINA 03 ORANz;;;;calounicka dilna;0;4031;E;24/15;301215;301215;
04.02;04;2;;Potahová látka béžová;ZB;21;63.61;302.37;;;mb;302;302;302.37;1;1;0;120.95;0.00;0;1;;0;1;0;16.6;24;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;0;4030;E;24/15;301215;301215;
04.02;04;2;;Potahová látka béžová;ZB;21;63.61;1.00;;;mb;1;1;1.00;1;1;0;0.40;0.00;289;1;;0;1;0;16.6;24;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;0;4030;E;48/16;270516;270516;
05.02;05;2;;Potahová látka hnědá skořicová;ZB;21;74.20;3.69;;;mb;4;4;0.00;1;0;0;0.00;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;tkanina 05;;;calounicka dilna;0;;B;24/15;301215;301215;
0709-CN.10;0709-CN;10;;Stolová noha chrom-S17,S131;ZB;21;59.21;61.00;;;ks;61;61;61.00;1;1;0;79.30;1.22;0;1;;0;1;0;;53;143.30;173.39;153.33;185.53;170.25;206.00;200.83;243.00;0.00;0.00;NM60X710, 70cm;70 cm;;;F80D;1;NM-60X710;B;24/15;301215;301215;
08.02;08;2;;Potahová látka - eko kůže hnědá, žíhaná;ZB;21;78.02;65.48;;;mb;65;65;0.00;1;0;0;32.74;0.00;0;1;;0;1;0;16.6;25;208.95;252.83;223.58;270.53;248.76;301.00;292.56;354.00;0.00;0.00;;Cina;;;calounicka dilna;1;;E;24/15;301215;301215;
09.02;09;2;;Potahová látka - eko kůže hnědá Margo 03;ZB;21;123.42;6.37;;;mb;6;6;0.00;1;0;0;3.19;0.00;0;1;;0;1;0;16.6;31;261.45;316.35;279.75;338.50;310.74;376.00;366.12;443.01;0.00;0.00;EKO SKORA CZIEMNY BRONZ MARGO 03;MARGO 03;;;calounicka dilna;1;;B;24/15;301215;301215;
10.02;10;2;;Potahová látka - eko kůže vanilka;ZB;21;113.92;0.18;;;mb;0;0;0.18;1;1;0;0.11;0.00;0;1;;0;1;0;16.6;31;261.45;316.35;279.75;338.50;310.74;376.00;366.12;443.01;0.00;0.00;;Extrim 510;;;calounicka dilna;1;;B;24/15;301215;301215;
101.02;101;2;;Potahová látka SAWANA 01;ZB;21;83.40;0.80;;;mb;1;1;0.00;1;0;0;0.48;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
102.02;102;2;;Potahová látka SAWANA 09;ZB;21;86.29;0.96;;;mb;1;1;0.00;1;0;0;0.58;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
103.02;103;2;;Potahová látka SAWANA 13;ZB;21;86.79;0.01;;;mb;0;0;0.00;1;0;0;0.01;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
104.02;104;2;;Potahová látka SAWANA 26;ZB;21;85.53;0.74;;;mb;1;1;0.00;1;0;0;0.44;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
105.02;105;2;;Potahová látka SAWANA 16;ZB;21;86.86;0.01;;;mb;0;0;0.00;1;0;0;0.01;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
106.02;106;2;;Potahová látka SAWANA 25;ZB;21;84.24;0.52;;;mb;1;1;0.00;1;0;0;0.31;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
107.02;107;2;;Potahová látka SAWANA 19;ZB;21;86.84;0.44;;;mb;0;0;0.00;1;0;0;0.26;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
108.02;108;2;;Potahová látka SAWANA 18;ZB;21;84.43;0.01;;;mb;0;0;0.00;1;0;0;0.01;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
108.02;108;2;;Potahová látka SAWANA 18;ZB;21;84.43;0.02;;;mb;0;0;0.00;1;0;0;0.01;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;16/16;010216;010216;
109.02;109;2;;Potahová látka SAWANA 8;ZB;21;86.50;0.43;;;mb;0;0;0.00;1;0;0;0.26;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
11.02;11;2;;Potahová látka červená žíhaná;ZB;21;142.75;22.93;;;mb;23;23;22.93;1;1;0;13.76;0.00;0;1;;0;1;0;16.6;31;261.45;316.35;279.75;338.50;310.74;376.00;366.12;443.01;0.00;0.00;;roma 11;;;calounicka dilna;1;;B;24/15;301215;301215;
11.02;11;2;;Potahová látka červená žíhaná;ZB;21;142.75;-16.50;;;mb;-16;-17;-16.50;1;1;0;-9.90;0.00;22;1;;0;1;0;16.6;31;261.45;316.35;279.75;338.50;310.74;376.00;366.12;443.01;0.00;0.00;;roma 11;;;calounicka dilna;1;;B;5/16;070116;070116;
110.02;110;2;;Potahová látka SAWANA 10;ZB;21;85.47;0.41;;;mb;0;0;0.00;1;0;0;0.25;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
1100.04;1100;4;;Zahr. židle - druhá jakost;ZB;21;728.46;2.00;;;ks;2;2;2.00;1;1;0;6.00;0.10;0;1;;0;1;0;80;22;1019.37;1233.44;1090.73;1319.78;1213.22;1468.00;1427.27;1727.00;0.00;0.00;;;;;2.patro u matraci;3;YQ525C;E;24/15;301215;301215;
1100.06;1100;6;;Zahr. židle;ZB;21;728.46;20.00;;;ks;20;20;20.00;1;1;0;60.00;1.00;0;1;;0;1;0;80;22;1019.37;1233.44;1090.73;1319.78;1213.22;1468.00;1427.27;1727.00;0.00;0.00;;;;;2.patro u matraci;3;YQ525C;E;24/15;301215;301215;
1100.06;1100;6;;Zahr. židle;ZB;21;728.46;-16.00;;;ks;-16;-16;-16.00;1;1;0;-48.00;-0.80;16;1;;0;1;0;80;22;1019.37;1233.44;1090.73;1319.78;1213.22;1468.00;1427.27;1727.00;0.00;0.00;;;;;2.patro u matraci;3;YQ525C;E;43/16;060516;060516;
111.02;111;2;;Potahová látka SAWANA 24;ZB;21;83.59;0.51;;;mb;1;1;0.00;1;0;0;0.31;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
112.02;112;2;;Potahová látka SAWANA 02;ZB;21;80.52;0.03;;;mb;0;0;0.00;1;0;0;0.02;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
114.02;114;2;;Potahová látka SAWANA 21;ZB;21;82.57;0.52;;;mb;1;1;0.00;1;0;0;0.31;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
115.02;115;2;;Potahová látka SAWANA 05;ZB;21;85.70;0.27;;;mb;0;0;0.00;1;0;0;0.16;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
116.02;116;2;;Potahová látka SAWANA 80;ZB;21;85.67;0.20;;;mb;0;0;0.00;1;0;0;0.12;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
117.02;117;2;;Potahová látka SAWANA 70;ZB;21;80.52;0.54;;;mb;1;1;0.00;1;0;0;0.32;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
118.02;118;2;;Potahová látka SAWANA 04;ZB;21;85.70;0.04;;;mb;0;0;0.00;1;0;0;0.02;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
119.02;119;2;;Potahová látka SAWANA 14;ZB;21;74.10;4.52;;;mb;5;5;0.00;1;0;0;2.71;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
12.02;12;2;;Potahová látka oranžová žíhaná;ZB;21;148.64;9.14;;;mb;9;9;9.14;1;1;0;5.48;0.00;0;1;;0;1;0;16.6;31;261.45;316.35;279.75;338.50;310.74;376.00;366.12;443.01;0.00;0.00;;;;;calounicka dilna;1;4014;B;24/15;301215;301215;
12.02;12;2;;Potahová látka oranžová žíhaná;ZB;21;148.38;-1.80;;;mb;-2;-2;-1.80;1;1;0;-1.08;0.00;7;1;;0;1;0;16.6;31;261.45;316.35;279.75;338.50;310.74;376.00;366.12;443.01;0.00;0.00;;;;;calounicka dilna;1;4014;B;43/16;060516;060516;
12.02;12;2;;Potahová látka oranžová žíhaná;ZB;21;148.64;-1.90;;;mb;-2;-2;-1.90;1;1;0;-1.14;0.00;10;1;;0;1;0;16.6;31;261.45;316.35;279.75;338.50;310.74;376.00;366.12;443.01;0.00;0.00;;;;;calounicka dilna;1;4014;B;33/16;050416;050416;
12.02;12;2;;Potahová látka oranžová žíhaná;ZB;21;148.38;-1.00;;;mb;-1;-1;-1.00;1;1;0;-0.60;0.00;3;1;;0;1;0;16.6;31;261.45;316.35;279.75;338.50;310.74;376.00;366.12;443.01;0.00;0.00;;;;;calounicka dilna;1;4014;B;48/16;270516;270516;
12.02;12;2;;Potahová látka oranžová žíhaná;ZB;21;148.38;-2.20;;;mb;-2;-2;-2.20;1;1;0;-1.32;0.00;6;1;;0;1;0;16.6;31;261.45;316.35;279.75;338.50;310.74;376.00;366.12;443.01;0.00;0.00;;;;;calounicka dilna;1;4014;B;53/16;080616;080616;
120.02;120;2;;Potahová látka SAWANA 35;ZB;21;86.41;0.14;;;mb;0;0;0.00;1;0;0;0.08;0.00;0;1;;0;1;0;16.6;31;156.45;189.30;167.40;202.55;185.95;225.00;219.01;265.00;0.00;0.00;;;;;calounicka dilna;1;;B;24/15;301215;301215;
1200.98;1200;98;;Zahr. stůl - druhá jakost;ZB;21;1145.11;1.00;;;ks;1;1;1.00;1;1;0;16.00;0.12;0;1;;0;1;0;80;22;2333.10;2823.05;2496.42;3020.67;2776.03;3359.00;3266.12;3952.01;0.00;0.00;;;;;2.pat.umatr+KOJE PRO;14;YQ532T;E;24/15;301215;301215;
